"Timestamp","Do you use the Internet?","Do you have Internet in your home/business?","Who provides your home/business Internet service?","About how much is your monthly Internet service in your home/business (excluding mobile plans)?","Do you ONLY have Internet access through a mobile data plan?","About how much is the price per month for your family's mobile service?","Do you ONLY have Internet access through the generosity of someone who is not in your household (e.g. free wifi, a neighbor, at work, the library)?","What do you dislike about your home/business Internet service? (check all that apply)","When there is a dispute with your home/business Internet provider, from which institutions can you get satisfaction? (check any that apply)","In a perfect world, how could your home/business Internet service be better (i.e. things you can't do now)?","How important is it for students to have Internet access?","How important is it for low-income families to have Internet access?","Do you support a publicly-owned telecommunications utility?","How important is user input in governance of a public telecommunications utility?","How important is it that rates pay only for utility costs?","Subscribers should subsidize access for families who can't afford home Internet access.","Taxpayers should subsidize access for families who can't afford home Internet access.","I care enough about this issue that I would financially support a campaign to create a publicly-owned telecommunications utility.","What question(s) didn't we ask that we should have, and your answer(s)?"
"2019/12/04 9:24:16 AM PST","All day, every day","Yes","CenturyLink (fiber)","95","No","142","No","Price;Reliability;Customer service;Billing;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor;Monopoly power","None of these institutions can/will help","I'd like to connect across town (over local infrastructure) without needing to go through an Internet provider (where traffic typically goes through other cities incurring costs of latency, exposing traffic to surveillance, and requiring multiple unnecessary intermediaries).","5","5","Yes","5","5","4","5","5",""
"2019/12/04 9:51:15 AM PST","All day, every day","Yes","CenturyLink (fiber)","$150 (guessing as it's combined with TV)","No","$50","No","Price;Lack of network neutrality guarantees","I don't know","More competition should lead to lower prices. Both Comcast and CenturyLink are available in our neighborhood, and prices haven't come down at all.","5","5","Yes","5","4","2","5","2",""
"2019/12/04 10:00:51 AM PST","All day, every day","Yes","Comcast","$80","No","$40","No","Price;Customer service;Lack of choices in providers;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","I'd be able to easily know what data is being gathered and how it's used.","5","5","Yes","5","4","5","5","4",""
"2019/12/04 10:28:21 AM PST","All day, every day","Yes","Charter","$200","No","$150","No","Price;Customer service;Lack of choices in providers;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","","5","5","Yes","5","4","5","5","5",""
"2019/12/04 10:30:31 AM PST","All day, every day","Yes","CenturyLink (fiber)","$79","No","80","No","Price;Reliability;Customer service;Download speed;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Cheaper","5","5","Yes","5","5","5","1","4",""
"2019/12/04 11:41:01 AM PST","All day, every day","Yes","CenturyLink AND Comcast","~$110","No","~$100","No","Reliability;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","In short, be more broadly and consistently available. Technically, I'm fortunate and happy. What I'd like is for comparable service to be available to any resident or business in the city, with adjustments or subsidies for anyone without the means to pay for it.","5","5","Yes","4","4","5","5","5",""
"2019/12/04 7:04:27 PM PST","All day, every day","Yes","CenturyLink (fiber)","85","No","50","No","Reliability;Download speed;Upload speed;Lack of network neutrality guarantees","None of these institutions can/will help","","5","5","Yes","5","5","4","4","4",""
"2019/12/04 7:04:29 PM PST","All day, every day","Yes","CenturyLink (fiber)","85","No","50","No","Reliability;Download speed;Upload speed;Lack of network neutrality guarantees","None of these institutions can/will help","","5","5","Yes","5","5","4","4","4",""
"2019/12/04 11:17:10 PM PST","All day, every day","Yes","CenturyLink (fiber)","65","No","75","No","Download speed;Upload speed;Lack of network neutrality guarantees","I have no idea","Faster and cheaper","5","5","Yes","5","3","3","4","3",""
"2019/12/05 3:09:03 PM PST","All day, every day","Yes","Comcast","170","No","110","No","Price;Customer service;Billing;Lack of choices in providers;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Gigabit/fiber speeds for the price we're already paying","5","5","Yes","5","5","5","5","5",""
"2019/12/05 3:12:36 PM PST","Within the last day","Yes","CenturyLink (fiber)","$80","No","$110","No","Customer service;Billing;Lack of choices in providers;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Customer support/billing assistance provided by someone from my community, not outsourced. Modern billing system. Less fees required for setup, less infrastructure paid for by the subscriber up front, better quality mandatory hardware, better BYO hardware options, better BYO hardware support, less proprietary software and hardware.","5","5","Yes","5","5","5","5","5",""
"2019/12/05 3:24:28 PM PST","All day, every day","Yes","CenturyLink (DSL)","45","No","100","No","Reliability;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Be more reliable and provide the bandwidth stated to be provided.","5","5","Yes","5","5","3","3","3",""
"2019/12/05 3:27:49 PM PST","All day, every day","Yes","CenturyLink (fiber)","65","No","120","No","Price;Customer service;Billing;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","Federal Communications Commission;Oregon Department of Justice;Office of Community Technology;City Council","","5","5","Yes","5","5","5","3","5",""
"2019/12/05 9:26:31 PM PST","All day, every day","Yes","Comcast","$130.00","No","$120.00","No","Price;Customer service;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","Oregon Public Utilities Commission","Fixed rates and speeds. No bandwidth restrictions. Better customer service.","5","3","Yes","5","4","3","3","3",""
"2019/12/06 10:35:08 AM PST","All day, every day","Yes","CenturyLink (DSL)","$55","No","","No","Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","","5","5","Yes","5","5","5","5","4",""
"2019/12/06 10:35:44 PM PST","All day, every day","Yes","CenturyLink (fiber)","65","No","99.90","No","Reliability;Customer service;Lack of choices in providers;Download speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor;Institutionalized monopolies ","None of these institutions can/will help","Local owned with trained techs that speek good English ","5","5","Yes","5","5","5","5","3",""
"2019/12/06 11:25:19 PM PST","All day, every day","Yes","Comcast","$45 /mo","No","$95 /mo","No","Price;Reliability;Customer service;Billing;Lack of choices in providers;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help;I have a friend locally that works at Comcast. Only reason I have Comcast is because I can talk with a real person that can actually help me when there is a service issue.","Faster more reliable internet.","5","5","Yes","5","5","5","5","5",""
"2019/12/06 11:31:27 PM PST","All day, every day","Yes","Comcast","180","No","100","No","Price;Reliability;Customer service;Lack of choices in providers;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","US Congress;Federal Communications Commission;State legislature;Oregon Public Utilities Commission;Oregon Department of Justice","Symmetric upload and download, no data caps","5","5","Yes","5","4","4","4","5",""
"2019/12/07 12:20:06 AM PST","All day, every day","Yes","CenturyLink (fiber)","$99","No","$110","No","Price;Customer service;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","US Congress;Federal Communications Commission;State legislature;Oregon Public Utilities Commission;Oregon Department of Justice;Mount Hood Cable Regulatory Commission;Office of Community Technology;City Council","It would be better as a municipal utility.","5","5","Yes","5","3","5","5","5",""
"2019/12/07 12:52:31 AM PST","All day, every day","Yes","Comcast","50","No","","No","Price;Customer service;Billing;Lack of choices in providers;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Faster upload speed, newer/faster/more reliable technology options (fiber vs DSL or coaxial), not having to give money to ISP's that are evil","5","5","Yes","5","4","4","5","4","Maybe something about the benefits of fiber?"
"2019/12/07 5:48:56 AM PST","Never","No, because too expensive","","Approx. $52/mo. After all fees considered","Yes","$174","Yes","Price;Reliability;Customer service;Lack of choices in providers;Download speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","It could be affordable for all households for one.","5","5","Yes","5","5","5","5","5","How does internet speed in your area compare to other countries? (Provide comparison examples)"
"2019/12/07 8:56:05 AM PST","All day, every day","Yes","Comcast","$100/mo","No","$90/mo","No","Price;Customer service;Billing;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Getting rid of the constant gimmicks to get me to pay more","5","5","Yes","4","3","5","5","5",""
"2019/12/07 9:35:35 AM PST","All day, every day","Yes","CenturyLink (fiber)","$65 every 30 days( it is not monthly)","No","$100/2 lines","No","Price;Lack of choices in providers;Upload speed;Lack of network neutrality guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","","5","5","Yes","5","4","5","5","3",""
"2019/12/07 11:46:32 AM PST","All day, every day","Yes","CenturyLink (fiber)","$65","No","$150","No","Customer service","None of these institutions can/will help;Would not think to ask, instead just change providers ","Faster onsite service","5","5","No","3","3","4","4","1",""
"2019/12/07 12:31:32 PM PST","All day, every day","Yes","CenturyLink (DSL)","60","No","90","No","Price;Reliability;Customer service;Download speed;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","","","5","5","Yes","4","4","4","4","4","Why make it municipal? We are in Washington County with a PDX address. Why not do it for metro?"
"2019/12/07 4:41:17 PM PST","All day, every day","Yes","CenturyLink (DSL)","$60","No","$55","No","Price;Reliability;Customer service;Lack of choices in providers;Download speed;Lack of network neutrality guarantees","","In a perfect world, it would be fast and funded exclusively by a progressive income tax. At the very least I would prefer a more transparent and fair pricing structure. ","5","5","Yes","5","5","3","5","3",""
"2019/12/07 7:21:02 PM PST","All day, every day","Yes","Comcast","$50","No","$140","No","Price;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","It should be a community-owned utility.","5","5","Yes","4","5","3","3","5","If you assume everybody needs broadband, then is there any functional difference between funding families who can't afford it via subscriber fees vs taxes?"
"2019/12/07 7:59:53 PM PST","All day, every day","Yes","Comcast","Too much","No","In-law's family plan","No","Price;Reliability;Customer service;Billing;Lack of choices in providers;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","It needs to be a public utility","5","5","Yes","5","5","1","5","3",""
"2019/12/07 9:33:18 PM PST","All day, every day","Yes","CenturyLink (fiber)","$70","No","$45","No","Price;Billing;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","","","5","5","Yes","5","5","5","5","5",""
"2019/12/08 3:56:24 AM PST","All day, every day","Yes","Comcast","280","No","190","No","Price;Reliability;Customer service;Lack of choices in providers;Lack of network neutrality guarantees","None of these institutions can/will help","Lower price","5","5","Yes","5","5","1","1","1",""
"2019/12/08 7:08:42 AM PST","All day, every day","Yes","Comcast","70","No","85","No","Price;Reliability;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","It could be faster and cheaper as a public utility","5","5","Yes","5","5","5","5","5",""
"2019/12/08 7:46:55 PM PST","All day, every day","Yes","Comcast","$70","No","$50","No","Price;Lack of choices in providers","Federal Communications Commission","Unlimited speed and reliability","5","5","Yes","5","4","4","4","2",""
"2019/12/08 8:07:52 PM PST","All day, every day","Yes","Comcast","$53","No","","No","Price;Customer service;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees","","Public utility, not operated for profit","5","5","Yes","5","5","5","5","4",""
"2019/12/08 8:31:30 PM PST","All day, every day","Yes","CenturyLink (DSL)","75","No","7","No","Price;Customer service;Lack of choices in providers;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","Oregon Public Utilities Commission;Oregon Department of Justice","","5","5","Yes","5","5","5","3","4",""
"2019/12/09 12:29:04 PM PST","All day, every day","Yes","Comcast","$80","No","$22","No","Price;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","Oregon Department of Justice","","5","5","Yes","5","5","5","5","3",""
"2019/12/10 6:34:10 PM PST","All day, every day","Yes","Comcast","$50","No","$125","No","Price;Reliability;Billing;Lack of choices in providers","None of these institutions can/will help","Could be faster and cheaper.","5","5","Yes","4","4","4","4","4",""
"2019/12/12 9:17:30 AM PST","All day, every day","Yes","CenturyLink (DSL)","$40","No","","No","Customer service;Lack of choices in providers;Download speed;Upload speed","","I live in a semi-rural area- Along HWY30 near Cornelius Pass RD. We have only one option- DSL. Comcast services a golf course 1 mile from my house with fiber. There are 12 houses in my small neighborhood. I guess we are not a profitable enough area for them to go that one last mile...","5","5","Yes","5","5","5","5","5","Would you support subsidizing expansion in to otherwise unserved rural areas? My answer we be a resounding YES"
"2019/12/12 9:45:28 AM PST","All day, every day","Yes","Comcast","110","No","120","No","Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Faster","5","5","Yes","5","3","5","5","4",""
"2019/12/12 3:45:46 PM PST","All day, every day","Yes","Comcast","170","No","","No","Price;Reliability;Lack of choices in providers;Download speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","","More transparency & reliability","5","5","Yes","5","4","5","5","5","""How important is internet speeds compared to price, reliability, transparency, security, and privacy?"" -> 2/5 (I don't think speeds are as important as the other metrics)"
"2019/12/14 3:49:48 PM PST","Within the last day","Yes","Comcast","$62","No","$70","No","Price;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","","Just like it to be more affordable. ","5","5","Yes","5","4","5","5","3",""
"2019/12/14 3:50:54 PM PST","All day, every day","Yes","CenturyLink (fiber)","79","No","$120","No","Price;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","Not sure if any can/will","Private by default; no caps; public utility","5","5","Yes","5","5","5","5","5",""
"2019/12/14 6:48:59 PM PST","All day, every day","Yes","Frontier (fiber)","$125","Yes","$125.00","Yes","Price;Reliability;Customer service;Billing;Lack of choices in providers;Download speed;Upload speed","","Lower the price and faster ","5","5","Yes","5","5","5","5","5",""
"2019/12/14 7:01:57 PM PST","All day, every day","Yes","Comcast","$50 to 70","No","$75","No","Lack of choices in providers;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","","5","5","Yes","4","5","5","4","4",""
"2019/12/14 7:07:51 PM PST","All day, every day","Yes","Comcast","","No","80","No","Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Faster. , better customer service","5","5","Yes","4","5","3","4","2",""
"2019/12/14 7:14:15 PM PST","All day, every day","Yes","CenturyLink (DSL)","55.00","No","80.00","No","Lack of choices in providers;Download speed;Lack of network neutrality guarantees","","","5","5","Yes","5","","5","5","5",""
